0.117	0.071	0.066	0.265	0.067	0.069	0.066	0.284	0.051	0.07	0.068	0.299
0.101	0.441	0.073	0.32	0.086	0.404	0.063	0.451	0.088	0.465	0.077	0.445
0.668	0.079	0.09	0.083	0.605	0.076	0.086	0.079	0.567	0.076	0.079	0.054
0.592	0.682	0.068	0.235	0.566	0.557	0.046	0.302	0.55	0.482	0.048	0.217
0.129	0.39	0.096	0.129	0.134	0.249	0.104	0.062	0.125	0.314	0.091	0.092
0.115	0.349	0.086	0.083	0.11	0.346	0.092	0.079	0.102	0.277	0.077	0.081
0.078	0.077	0.185	0.093	0.08	0.071	0.157	0.089	0.08	0.079	0.127	0.087
0.059	0.088	0.099	0.16	0.073	0.134	0.088	0.15	0.078	0.122	0.076	0.172
